REF_DATE,GEO,DGUID,Violations,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010,"Edmonton, Alberta [48835]",2021A003548835,"Total, all violations [0]",Actual incidents,Number,223,units,0,v44416680,35.1.1,102537.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Hostage-taking [1520],Actual incidents,Number,223,units,0,v44357922,35.57.1,1.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Heroin, trafficking [4210]",Actual incidents,Number,223,units,0,v44337672,35.192.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Trap likely to or causing bodily harm [1475],Actual incidents,Number,223,units,0,v62100601,35.56.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Other Controlled Drugs and Substances Act, trafficking [4230]",Actual incidents,Number,223,units,0,v44338879,35.193.1,92.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Non-consensual distribution of intimate images [1390],Actual incidents,Number,223,units,0,v107885290,35.257.1,,..,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Voyeurism [1385],Actual incidents,Number,223,units,0,v44372031,35.55.1,25.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Methamphetamines (crystal meth), trafficking [4250]",Actual incidents,Number,223,units,0,v44394212,35.194.1,39.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Bestiality, commit or compel person [1380]",Actual incidents,Number,223,units,0,v44372352,35.54.1,1.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Methylenedioxyamphetamine (ecstasy), trafficking [4260]",Actual incidents,Number,223,units,0,v44343445,35.195.1,28.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Anal intercourse [1375],Actual incidents,Number,223,units,0,v44364737,35.53.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Opioid (other than heroin), trafficking [4270]",Actual incidents,Number,223,units,0,v1000170543,35.267.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Corrupting morals of a child [1365],Actual incidents,Number,223,units,0,v44326564,35.52.1,5.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Heroin, importation and exportation [4310]",Actual incidents,Number,223,units,0,v53093144,35.196.1,1.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Incest [1360],Actual incidents,Number,223,units,0,v44326489,35.51.1,6.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",Actual incidents,Number,223,units,0,v44349448,35.191.1,223.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Sexual Exploitation of a person with a disability [1356],Actual incidents,Number,223,units,0,v54046150,35.221.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Other sexual violations [1340],Actual incidents,Number,223,units,0,v44389585,35.50.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Methamphetamines (crystal meth), importation and exportation [4350]",Actual incidents,Number,223,units,0,v44358147,35.198.1,1.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Conspire to commit murder [1220],Actual incidents,Number,223,units,0,v44379242,35.49.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Methylenedioxyamphetamine (ecstasy), importation and exportation [4360]",Actual incidents,Number,223,units,0,v54049381,35.199.1,2.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Total other violent violations [180],Actual incidents,Number,223,units,0,v44346284,35.48.1,132.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Advertising sexual services [1740],Actual incidents,Number,223,units,0,v96898550,35.243.1,,..,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Opioid (other than heroin), importation and exportation [4370]",Actual incidents,Number,223,units,0,v1000170559,35.268.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Procuring a person under the age of 18 years [1732],Actual incidents,Number,223,units,0,v96898536,35.242.1,,..,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Heroin, production [4410]",Actual incidents,Number,223,units,0,v62102589,35.200.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Procuring [1731],Actual incidents,Number,223,units,0,v96898522,35.241.1,,..,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Other Controlled Drugs and Substances Act, production [4430]",Actual incidents,Number,223,units,0,v44407542,35.201.1,9.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Receive material benefit from sexual services provided by person under the age of 18 years [1722],Actual incidents,Number,223,units,0,v96898508,35.240.1,,..,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Methamphetamines (crystal meth), production [4450]",Actual incidents,Number,223,units,0,v44329746,35.202.1,4.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Receive material benefit from sexual services [1721],Actual incidents,Number,223,units,0,v96898494,35.239.1,,..,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Other Controlled Drugs and Substances Act, importation and exportation [4330]",Actual incidents,Number,223,units,0,v44374214,35.197.1,46.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Trafficking in persons [1525],Actual incidents,Number,223,units,0,v44412775,35.58.1,1.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Intimidation of a justice system participant or a journalist [1621],Actual incidents,Number,223,units,0,v44416726,35.59.1,5.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Cocaine, production [4420]",Actual incidents,Number,223,units,0,v53093164,35.190.1,1.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Shoplifting over $5,000 [2133]",Actual incidents,Number,223,units,0,v44376888,35.75.1,7.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Theft over $5,000 from a motor vehicle [2132]",Actual incidents,Number,223,units,0,v44391806,35.74.1,165.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",Actual incidents,Number,223,units,0,v44333597,35.178.1,242.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Theft over $5,000 [2130]",Actual incidents,Number,223,units,0,v44388659,35.73.1,462.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Heroin, possession [4110]",Actual incidents,Number,223,units,0,v44338734,35.179.1,2.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,Number,223,units,0,v44398455,35.72.1,634.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Other Controlled Drugs and Substances Act, possession [4130]",Actual incidents,Number,223,units,0,v44408871,35.180.1,134.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Total theft of motor vehicle [220],Actual incidents,Number,223,units,0,v44345789,35.69.1,5264.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Total trafficking in stolen property [212],Actual incidents,Number,223,units,0,v61987836,35.228.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Methamphetamines (crystal meth), possession [4150]",Actual incidents,Number,223,units,0,v44330032,35.181.1,83.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Total possession of stolen property [211],Actual incidents,Number,223,units,0,v44407330,35.68.1,1393.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Methylenedioxyamphetamine (ecstasy), possession [4160]",Actual incidents,Number,223,units,0,v44334953,35.182.1,23.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Break and enter to steal a firearm from a motor vehicle [2125],Actual incidents,Number,223,units,0,v53091984,35.222.1,13.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Opioid (other than heroin), possession [4170]",Actual incidents,Number,223,units,0,v1000170527,35.266.1,0.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Breaking and entering to steal a firearm [2121],Actual incidents,Number,223,units,0,v52137390,35.67.1,11.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",Actual incidents,Number,223,units,0,v44418061,35.183.1,382.0,,,,0
2010,"Edmonton, Alberta [48835]",2021A003548835,Breaking and entering [2120],Actual incidents,Number,223,units,0,v44344388,35.66.1,7018.0,,,,0
