REF_DATE,GEO,DGUID,Violations,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010,"Regina, Saskatchewan [47705]",2021A003547705,"Total, all violations [0]",Actual incidents,Number,223,units,0,v44351139,31.1.1,24489.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,Hostage-taking [1520],Actual incidents,Number,223,units,0,v44380802,31.57.1,0.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,"Heroin, trafficking [4210]",Actual incidents,Number,223,units,0,v44351065,31.192.1,0.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,Trap likely to or causing bodily harm [1475],Actual incidents,Number,223,units,0,v62088001,31.56.1,0.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,"Other Controlled Drugs and Substances Act, trafficking [4230]",Actual incidents,Number,223,units,0,v44330686,31.193.1,34.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,Non-consensual distribution of intimate images [1390],Actual incidents,Number,223,units,0,v107885010,31.257.1,,..,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,Voyeurism [1385],Actual incidents,Number,223,units,0,v44376438,31.55.1,3.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,"Methamphetamines (crystal meth), trafficking [4250]",Actual incidents,Number,223,units,0,v44414409,31.194.1,0.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,"Bestiality, commit or compel person [1380]",Actual incidents,Number,223,units,0,v44328043,31.54.1,0.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,"Methylenedioxyamphetamine (ecstasy), trafficking [4260]",Actual incidents,Number,223,units,0,v44370784,31.195.1,4.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,Anal intercourse [1375],Actual incidents,Number,223,units,0,v44401367,31.53.1,0.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,"Opioid (other than heroin), trafficking [4270]",Actual incidents,Number,223,units,0,v1000168111,31.267.1,0.0,,,,0
2010,"Regina, Saskatchewan [47705]",2021A003547705,Corrupting morals of a child [1365],Actual incidents,Number,223,units,0,v44416091,31.52.1,0.0,,,,0
