Date,Temperature_C_mean,Temperature_C_max,Temperature_C_min,Relative_Humidity_Pct_mean,Precip_Amount_mm_sum
2010-01-01,-28.6,-19.8,-37.3,72.0,0.2
2010-01-02,-16.8,-13.6,-19.9,82.66666666666667,0.4
2010-01-03,-17.8,-13.0,-22.6,83.04166666666667,0.0
2010-01-04,-17.3,-11.9,-22.6,85.625,0.0
2010-01-05,-12.9,-11.6,-14.2,87.75,3.3
2010-01-06,-23.4,-14.2,-32.6,78.33333333333333,0.4
2010-01-07,-32.9,-28.2,-37.5,68.91666666666667,0.2
2010-01-08,-26.6,-21.9,-31.3,75.16666666666667,0.0
2010-01-09,-15.1,-7.4,-22.7,80.0,0.0
2010-01-10,-10.8,-6.4,-15.2,83.70833333333333,0.0
2010-01-11,-7.9,-0.7,-15.1,87.41666666666667,0.0
2010-01-12,-0.9,4.1,-5.9,81.125,0.0
2010-01-13,-4.9,1.7,-11.4,86.0,0.0
2010-01-14,-9.2,-4.4,-13.9,90.75,0.0
2010-01-15,-3.7,1.6,-8.9,84.20833333333333,0.0
2010-01-16,0.0,4.0,-4.0,79.83333333333333,0.0
2010-01-17,-10.1,-3.8,-16.3,87.20833333333333,0.0
2010-01-18,-8.1,-3.9,-12.3,86.0,0.0
2010-01-19,-8.1,-5.9,-10.2,88.5,0.0
2010-01-20,-6.1,-2.6,-9.6,91.5,0.0
2010-01-21,-4.4,-2.6,-6.2,91.75,0.0
2010-01-22,-3.5,-2.8,-4.2,91.20833333333333,0.7
2010-01-23,-4.3,-2.5,-6.0,88.25,2.5
2010-01-24,-8.3,-5.3,-11.2,89.66666666666667,1.7
2010-01-25,-13.7,-11.1,-16.3,83.25,0.2
2010-01-26,-18.0,-14.9,-21.1,80.33333333333333,0.2
2010-01-27,-22.0,-18.3,-25.6,77.83333333333333,0.0
2010-01-28,-25.0,-19.1,-30.8,75.58333333333333,0.0
2010-01-29,-19.8,-16.6,-23.0,74.08333333333333,0.0
2010-01-30,-17.5,-13.4,-21.5,77.0,0.0
2010-01-31,-15.5,-13.5,-17.5,81.16666666666667,0.2
2010-02-01,-18.1,-16.2,-19.9,80.375,0.0
2010-02-02,-15.4,-12.2,-18.6,83.04166666666667,0.0
2010-02-03,-12.9,-8.0,-17.7,82.91666666666667,0.0
2010-02-04,-11.3,-10.0,-12.6,86.04166666666667,0.0
2010-02-05,-9.5,-7.0,-12.0,89.25,0.0
2010-02-06,-10.8,-6.5,-15.1,89.41666666666667,0.2
2010-02-07,-16.5,-6.9,-26.0,82.54166666666667,0.2
2010-02-08,-25.2,-19.2,-31.1,75.5,0.0
2010-02-09,-20.2,-15.4,-24.9,82.5,0.0
2010-02-10,-17.0,-13.3,-20.6,83.54166666666667,0.0
2010-02-11,-10.7,-6.3,-15.0,89.16666666666667,0.2
2010-02-12,-11.8,-7.6,-15.9,89.375,0.2
2010-02-13,-19.6,-13.9,-25.3,81.20833333333333,0.0
2010-02-14,-21.7,-15.7,-27.6,79.08333333333333,0.0
2010-02-15,-19.0,-13.3,-24.6,78.79166666666667,0.0
2010-02-16,-14.7,-5.9,-23.5,83.16666666666667,0.0
2010-02-17,-11.9,-6.7,-17.0,89.70833333333333,0.2
2010-02-18,-13.7,-6.2,-21.1,88.25,0.2
2010-02-19,-7.6,-6.6,-8.5,90.95833333333333,0.8
2010-02-20,-8.6,-6.4,-10.7,90.33333333333333,0.0
2010-02-21,-15.8,-10.5,-21.0,84.875,0.2
2010-02-22,-13.4,-7.3,-19.4,85.95833333333333,0.0
2010-02-23,-17.3,-11.5,-23.1,81.75,0.2
2010-02-24,-13.5,-8.1,-18.9,84.04166666666667,0.0
2010-02-25,-11.8,-7.5,-16.1,84.29166666666667,0.0
2010-02-26,-13.7,-6.7,-20.7,84.58333333333333,0.0
