Year,Total_Incidents,City,YoY_Change_Percent
2011,92489.0,Edmonton,-9.799389488672382
2012,92334.0,Edmonton,-0.1675874968915192
2013,96080.0,Edmonton,4.057010418697349
2014,99731.0,Edmonton,3.7999583680266458
2015,113270.0,Edmonton,13.575518143806843
2016,122287.0,Edmonton,7.9606250551778945
2017,130595.0,Edmonton,6.793853802938998
2018,134625.0,Edmonton,3.085876182089664
2019,139892.0,Edmonton,3.9123491179201553
2020,119642.0,Edmonton,-14.475452491922336
2021,114169.0,Edmonton,-4.574480533591885
2022,125485.0,Edmonton,9.911622244216911
2023,123275.0,Edmonton,-1.7611666733075682
2024,121918.0,Edmonton,-1.1007909146217854
