Year,Total_Incidents,City,YoY_Change_Percent
2011,28536.0,Saskatoon,1.8742636821248881
2012,26758.0,Saskatoon,-6.230726100364448
2013,25968.0,Saskatoon,-2.9523880708573147
2014,27345.0,Saskatoon,5.302680221811462
2015,28411.0,Saskatoon,3.89833607606509
2016,30912.0,Saskatoon,8.802928443208625
2017,30709.0,Saskatoon,-0.6567028985507206
2018,30692.0,Saskatoon,-0.05535836399752636
2019,29165.0,Saskatoon,-4.975237846995961
2020,26459.0,Saskatoon,-9.27824447111264
2021,27162.0,Saskatoon,2.656940927472684
2022,29719.0,Saskatoon,9.413887048081882
2023,32705.0,Saskatoon,10.047444395841044
2024,30805.0,Saskatoon,-5.809509249350253
