Year,Total_Incidents,City,YoY_Change_Percent
2011,53482.0,Winnipeg,-11.65548911427533
2012,52771.0,Winnipeg,-1.3294192438577435
2013,45938.0,Winnipeg,-12.948399689223244
2014,45280.0,Winnipeg,-1.4323653620096688
2015,50261.0,Winnipeg,11.000441696113072
2016,55136.0,Winnipeg,9.699369292294225
2017,58844.0,Winnipeg,6.725188624492162
2018,66292.0,Winnipeg,12.65719529603697
2019,73385.0,Winnipeg,10.699631931454778
2020,65361.0,Winnipeg,-10.934114601076516
2021,61051.0,Winnipeg,-6.594146356389896
2022,76201.0,Winnipeg,24.815318340403913
2023,74852.0,Winnipeg,-1.770317974829727
2024,74459.0,Winnipeg,-0.5250360711804625
