REF_DATE,GEO,DGUID,Violations,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Total, all violations [0]",Actual incidents,Number,223,units,0,v44388218,29.1.1,60538.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Hostage-taking [1520],Actual incidents,Number,223,units,0,v44410882,29.57.1,0.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Heroin, trafficking [4210]",Actual incidents,Number,223,units,0,v44350276,29.192.1,3.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Trap likely to or causing bodily harm [1475],Actual incidents,Number,223,units,0,v62081701,29.56.1,0.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Other Controlled Drugs and Substances Act, trafficking [4230]",Actual incidents,Number,223,units,0,v44360951,29.193.1,68.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Non-consensual distribution of intimate images [1390],Actual incidents,Number,223,units,0,v107884870,29.257.1,,..,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Voyeurism [1385],Actual incidents,Number,223,units,0,v44345426,29.55.1,6.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Methamphetamines (crystal meth), trafficking [4250]",Actual incidents,Number,223,units,0,v44326547,29.194.1,0.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Bestiality, commit or compel person [1380]",Actual incidents,Number,223,units,0,v44329212,29.54.1,0.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Methylenedioxyamphetamine (ecstasy), trafficking [4260]",Actual incidents,Number,223,units,0,v44360553,29.195.1,2.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Anal intercourse [1375],Actual incidents,Number,223,units,0,v44358421,29.53.1,1.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Opioid (other than heroin), trafficking [4270]",Actual incidents,Number,223,units,0,v1000166895,29.267.1,0.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Corrupting morals of a child [1365],Actual incidents,Number,223,units,0,v44381927,29.52.1,0.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Heroin, importation and exportation [4310]",Actual incidents,Number,223,units,0,v44357510,29.196.1,0.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Incest [1360],Actual incidents,Number,223,units,0,v44375351,29.51.1,5.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",Actual incidents,Number,223,units,0,v44412389,29.191.1,78.0,,,,0
2010,"Winnipeg, Manitoba [46602]",2021A003546602,Sexual Exploitation of a person with a disability [1356],Actual incidents,Number,223,units,0,v54046144,29.221.1,0.0,,,,0
