city,week_key,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime
Edmonton,2013-W52,8.0,-0.0197927421878885,-0.0202897481306572,0.375,0.375,6.0,-0.0379102844371462,-0.0526722465845842,0.5,0.3333333333333333
Edmonton,2013-W02,10.0,0.0957961158039035,0.0980307539682539,0.2,0.8,5.0,0.0488864844278662,0.0628787878787878,0.4,0.6
Edmonton,2013-W29,12.0,0.07373910733945,0.0707902211247281,0.25,0.5833333333333334,8.0,0.019360336995226,0.0344929236687978,0.375,0.5
Edmonton,2013-W19,7.0,-0.0451077623828383,0.0087828282828283,0.2857142857142857,0.1428571428571428,6.0,-0.0676379268879268,-0.0171994949494949,0.3333333333333333,0.0
Edmonton,2013-W36,7.0,0.0900582406603197,0.126282372598162,0.2857142857142857,0.7142857142857143,6.0,0.063211886830979,0.1136928703873504,0.3333333333333333,0.6666666666666666
Regina,2013-W43,8.0,0.1325672737299944,0.1571343644781144,0.125,0.875,5.0,0.1114944575527273,0.1498046436588103,0.2,0.8
Regina,2013-W49,11.0,0.1013427721637411,0.1214171122994652,0.1818181818181818,0.6363636363636364,7.0,0.0848489438701304,0.0529079131652661,0.1428571428571428,0.5714285714285714
Regina,2012-W19,12.0,0.0470857465114533,0.0336618678479143,0.0,0.1666666666666666,11.0,0.0501549802102968,0.0344269102990033,0.0,0.1818181818181818
Regina,2012-W40,6.0,0.073191531526114,0.0953010196431249,0.0,0.6666666666666666,6.0,0.073191531526114,0.0953010196431249,0.0,0.6666666666666666
Regina,2013-W23,6.0,0.0864355151021817,0.0621428571428571,0.0,1.0,5.0,0.0783224627224627,0.0567857142857142,0.0,1.0
Winnipeg,2013-W43,5.0,-0.0503956529581529,-0.0647727272727272,0.6,0.4,5.0,-0.0503956529581529,-0.0647727272727272,0.6,0.4
Winnipeg,2013-W11,6.0,-0.0085965373193634,-0.0209595959595959,0.3333333333333333,0.1666666666666666,5.0,-0.049224935692327,-0.0209595959595959,0.4,0.0
Winnipeg,2013-W05,10.0,0.0281484156214887,0.0771178505837596,0.3,0.6,6.0,0.0216255629891993,0.0771178505837596,0.3333333333333333,0.6666666666666666
Winnipeg,2013-W51,6.0,0.014569234334453,0.1063118604355071,0.1666666666666666,0.6666666666666666,6.0,0.014569234334453,0.1063118604355071,0.1666666666666666,0.6666666666666666
Winnipeg,2013-W26,9.0,0.0634949472452988,0.0481648380355276,0.1111111111111111,0.3333333333333333,6.0,0.0805743946021556,0.0607505155062833,0.1666666666666666,0.5
